,Dist Name,January,February,March,April,May,June,July,August,September,October,November,December,Unnamed: 0,STATE/UT,DISTRICT,avg kharif,avg rabi,summer avg,whole year avg
67,BELLARY,25.655,25.197325085324234,31.92,32.10050485847064,31.995,29.1,27.57,27.575,25.685000000000002,29.1,27.839999999999996,25.915,611,KARNATAKA,BELLARY,98.46,26.985714285714288,39.85,51.900000000000006
68,DHARWAD,26.445,27.19,30.565,31.75,30.85,27.935000000000002,27.04,26.67,27.786692307692306,27.805,24.185000000000002,25.98,602,KARNATAKA,DHARWAD,120.88,32.17142857142857,62.45,65.97500000000001
69,BIDAR,25.73,27.884999999999998,30.93,33.060882103477525,35.589999999999996,29.745,29.25,28.375,26.595,28.15,24.990000000000002,25.125,600,KARNATAKA,BIDAR,157.68,23.485714285714288,50.075,74.22500000000001
70,RAICHUR,28.015,28.485,32.015,34.27,33.699999999999996,29.735,30.490000000000002,28.705,29.076692307692305,30.0,27.65,28.5,605,KARNATAKA,RAICHUR,114.42,23.285714285714285,36.0,55.42499999999999
71,ALAPPUZHA,29.445,29.035,31.575000000000003,32.47,31.225,30.36,28.465,30.11,29.25,29.44,28.875,29.744999999999997,626,KERALA,ALAPPUZHA,415.75999999999993,113.8,267.7,236.76666666666668
72,KOTTAYAM,27.945,29.580000000000002,29.655,33.40050485847064,30.225,28.925,28.345,29.615000000000002,30.18,30.310000000000002,24.841232964224872,28.869999999999997,629,KERALA,KOTTAYAM,442.78,107.34285714285714,277.325,244.20833333333331
73,KOZHIKODE,28.78,28.31,30.759999999999998,30.795,34.161499356499355,28.23,26.615000000000002,27.731219667943805,28.130000000000003,28.575000000000003,28.224999999999998,21.28548699636531,630,KERALA,KOZHIKODE,573.04,74.91428571428573,312.1,282.0083333333333
74,MALAPPURAM,26.745,27.095431914893616,31.115,31.564999999999998,29.505000000000003,29.365000000000002,26.115,27.725,29.610042535091452,28.07,29.214999999999996,27.795,631,KERALA,MALAPPURAM,470.16,79.05714285714285,245.425,236.25833333333333
75,PALAKKAD,23.08372758326217,26.535431914893614,28.825000000000003,30.92,31.299999999999997,29.240000000000002,25.935000000000002,26.1,27.605,27.854999999999997,27.75,26.630000000000003,632,KERALA,PALAKKAD,367.3,79.8,186.05,190.83333333333331
76,KOLLAM,27.65,30.015,30.119999999999997,29.7,30.79,28.615000000000002,26.225,27.88,29.415,28.265,28.43,27.189999999999998,633,KERALA,KOLLAM,339.00000000000006,130.12857142857143,231.825,207.64166666666668
